epoch,loss,val_acc,pd_fold2_test_acc
1,6.621340,87.947000,15.370000
2,5.834870,88.749000,17.510000
3,5.089850,89.096000,18.288000
4,4.976490,89.223000,19.650000
5,4.605690,89.533000,19.650000
