epoch,loss,val_acc,pd_fold3_test_acc
1,6.613340,91.667000,30.784000
2,3.770410,91.758000,43.529000
3,2.574230,91.174000,47.255000
4,2.105400,90.244000,48.824000
5,1.925260,90.737000,47.059000
