epoch,loss,val_acc,pd_fold4_test_acc
1,6.530910,90.974000,23.564000
2,3.696550,90.244000,34.455000
3,2.408920,91.047000,39.010000
4,2.033420,90.463000,39.604000
5,1.902930,90.445000,40.594000
