epoch,loss,val_acc,pd_fold2_test_acc
1,6.472820,91.047000,23.152000
2,3.780020,91.740000,35.992000
3,2.454720,91.302000,40.467000
4,1.992670,90.737000,44.163000
5,1.871600,90.810000,43.969000
