epoch,loss,val_acc,pd_fold4_test_acc
1,7.425250,87.546000,15.050000
2,6.091630,88.275000,16.040000
3,5.044380,88.713000,17.030000
4,4.857590,88.840000,17.426000
5,4.755870,89.004000,16.634000
