epoch,loss,val_acc,pd_fold1_test_acc
1,6.482890,91.083000,29.423000
2,3.678390,91.193000,39.615000
3,2.441710,89.788000,43.269000
4,2.046250,90.044000,44.231000
5,1.901740,90.646000,45.192000
