epoch,loss,val_acc,pd_fold3_test_acc
1,7.661870,88.494000,17.059000
2,6.482880,89.697000,20.784000
3,5.529240,90.098000,22.549000
4,5.576050,90.427000,23.137000
5,5.009850,90.317000,23.333000
