epoch,loss,val_acc,pd_fold1_test_acc
1,7.569490,85.795000,15.962000
2,6.762600,88.239000,18.846000
3,5.822650,89.588000,19.615000
4,5.144290,89.697000,20.769000
5,5.143260,89.916000,20.577000
