epoch,loss,val_acc,pd_fold0_test_acc
1,7.237460,86.178000,18.715000
2,6.837580,87.309000,19.471000
3,5.969350,88.293000,20.794000
4,5.487090,88.950000,20.983000
5,5.136080,89.187000,21.361000
