epoch,loss,val_acc_gauss,val_acc_real
1,0.495850,91.258000,90.963000
2,0.313290,90.276000,90.236000
3,0.268490,83.742000,82.957000
4,0.241140,92.722000,92.648000
5,0.208100,92.771000,92.673000
6,0.170060,91.601000,91.389000
