epoch,loss,val_acc,pd_all_acc
1,0.465080,84.119000,11.365000
2,0.127870,96.665000,14.119000
3,0.073320,97.292000,12.956000
4,0.062810,97.937000,13.189000
5,0.037590,98.434000,12.645000
6,0.025210,98.895000,11.288000
7,0.014370,99.300000,12.374000
8,0.007760,99.558000,13.654000
9,0.003940,99.650000,13.926000
10,0.002530,99.668000,13.848000
