step,E,var
0,-64.63782905,7.17e-5
100,-64.58734369,1.94e-2
200,-64.64291404,3.24e-5
300,-64.64442638,1.55e-2
400,-64.64024700,8.30e-6
500,-64.64576377,1.55e-2
600,-64.64128958,9.00e-6
700,-64.64089912,1.29e-5
800,-64.64192524,1.57e-5
900,-64.64051249,1.26e-5
1000,-64.64031259,1.64e-5
1100,-64.64211299,2.03e-5
1200,-64.63998254,1.22e-4
1300,-64.64000181,6.58e-6
1400,-64.64104193,7.30e-5
1500,-64.64155752,3.62e-6
1600,-64.64004989,1.97e-4
1700,-64.64142295,2.85e-6
1800,-64.64053874,1.19e-4
1900,-64.64009653,2.09e-4
2000,-64.64069306,7.15e-5
