step,E,var
0,-66.55364665,7.37e-2
100,-66.58410971,1.54e-3
200,-66.58365880,8.19e-4
300,-66.58405495,2.36e-3
400,-66.58490071,4.24e-4
500,-66.58550663,5.41e-4
600,-66.58615729,1.51e-4
700,-66.58852181,1.13e-2
800,-66.58592159,4.64e-4
900,-66.58893298,1.38e-2
1000,-66.58551249,1.38e-4
1100,-66.58624081,6.15e-4
1200,-66.58643323,8.41e-4
1300,-66.58913707,1.40e-2
1400,-66.58546830,1.76e-4
1500,-66.58480300,2.94e-4
1600,-66.58542698,3.43e-4
1700,-66.58603440,1.06e-4
1800,-66.58603376,2.78e-5
1900,-66.58581400,7.75e-5
2000,-66.58576485,5.95e-5
