step,E,var
0,-115.80590557,4.29e+1
100,-124.08708511,1.07e+0
200,-124.09277062,1.04e+0
300,-124.11719634,1.02e+0
400,-124.07487123,1.06e+0
500,-124.07917181,1.10e+0
600,-124.15973977,7.55e-1
700,-124.20913387,7.45e-1
800,-124.16293348,7.08e-1
900,-124.27080724,4.37e-2
1000,-124.27778797,1.87e-2
1100,-124.26978978,1.46e-2
1200,-124.27559029,1.26e-2
1300,-124.27597484,9.45e-3
1400,-124.27325288,8.10e-3
1500,-124.27367235,7.62e-3
1600,-124.27550507,6.09e-3
1700,-124.28155703,6.57e-3
1800,-124.27576727,6.91e-3
1900,-124.27530820,5.84e-3
2000,-124.27964473,5.53e-3
