step,E,var
0,-105.01328125,2.72e+1
100,-108.75828223,1.34e+1
200,-109.40862690,1.32e+1
300,-109.85144012,1.36e+1
400,-111.11089597,1.04e+1
500,-112.20879397,3.01e+0
600,-112.41907658,1.22e+0
700,-112.53205552,5.97e-1
800,-112.57469902,1.26e+0
900,-112.60545235,4.39e-1
1000,-112.60648789,3.98e-1
1100,-112.62590262,6.50e-1
1200,-112.59430135,4.19e-1
1300,-112.63543334,2.12e-1
1400,-112.65364788,3.03e-1
1500,-112.63297763,1.80e-1
1600,-112.64445619,3.17e-1
1700,-112.65986783,1.51e-1
1800,-112.65519447,1.46e-1
1900,-112.65471160,1.45e-1
2000,-112.61887932,1.47e-1
