step,E,var
0,-116.00072010,4.47e+1
100,-121.13370075,1.71e+1
200,-121.70163152,1.60e+1
300,-123.26598908,1.14e+1
400,-124.02826767,3.04e+0
500,-124.02517676,4.20e+0
600,-124.12350564,1.82e+0
700,-124.16296365,1.96e+0
800,-124.25171678,1.15e+0
900,-124.15759501,8.63e-1
1000,-124.16125393,6.63e-1
1100,-124.18179989,1.10e+0
1200,-124.20149534,6.64e-1
1300,-124.21216949,1.07e+0
1400,-124.17931166,7.24e-1
1500,-124.26747080,6.20e-1
1600,-124.18511466,8.05e-1
1700,-124.19276238,5.27e-1
1800,-124.17875264,4.92e-1
1900,-124.20670273,5.66e-1
2000,-124.21946916,5.18e-1
