step,E,var
0,-69.72645340,4.29e-1
100,-69.86069491,2.85e-1
200,-69.85162954,1.79e-1
300,-69.86839497,2.26e-1
400,-69.86672435,1.77e-1
500,-69.84458713,6.40e-2
600,-69.87250347,3.55e-1
700,-69.85709258,1.03e-1
800,-69.87432233,1.90e-1
900,-69.86803768,1.95e-1
1000,-69.85055928,8.76e-2
1100,-69.86770402,8.76e-2
1200,-69.85988689,4.70e-2
1300,-69.87009173,9.92e-2
1400,-69.87919219,1.09e-1
1500,-69.90852372,2.49e-1
1600,-69.89468893,2.00e-1
1700,-69.87644071,9.57e-2
1800,-69.87217774,7.24e-2
1900,-69.88643942,1.11e-1
2000,-69.88391129,1.12e-1
