step,E,var
0,-69.75269405,4.71e-1
100,-69.88949076,3.83e-3
200,-69.89643701,9.19e-3
300,-69.90146102,3.40e-3
400,-69.90172191,1.19e-3
500,-69.90237865,1.36e-3
600,-69.90350251,1.60e-3
700,-69.90203453,1.05e-3
800,-69.90190828,2.02e-3
900,-69.90328400,8.68e-4
1000,-69.90274074,3.82e-4
1100,-69.90226684,5.27e-4
1200,-69.90246934,4.74e-4
1300,-69.90347788,5.79e-4
1400,-69.90284133,6.42e-4
1500,-69.90144422,1.07e-3
1600,-69.90267745,1.79e-4
1700,-69.90317107,1.36e-4
1800,-69.90376458,5.40e-4
1900,-69.90319124,1.53e-4
2000,-69.90358681,2.37e-4
