step,E,var
0,-105.12343584,2.36e+1
100,-112.47492507,1.12e+0
200,-112.48138161,1.06e+0
300,-112.51573734,1.03e+0
400,-112.48287323,1.03e+0
500,-112.48479852,1.07e+0
600,-112.49370798,1.01e+0
700,-112.50759958,1.04e+0
800,-112.51349360,1.01e+0
900,-112.64277741,1.25e-1
1000,-112.65422446,6.72e-2
1100,-112.67186223,4.84e-2
1200,-112.66555025,3.91e-2
1300,-112.66574039,2.75e-2
1400,-112.66983653,2.56e-2
1500,-112.67216391,2.99e-2
1600,-112.66364395,1.74e-2
1700,-112.67255845,1.75e-2
1800,-112.67186805,1.60e-2
1900,-112.67096751,1.40e-2
2000,-112.67054124,1.30e-2
