step,E,var
0,-74.23748549,1.60e+0
100,-74.56901336,8.80e-1
200,-74.49248641,3.89e-1
300,-74.54842484,4.34e-1
400,-74.58377355,4.15e-1
500,-74.58583392,3.32e-1
600,-74.61171651,5.23e-1
700,-74.61979886,4.81e-1
800,-74.63966165,3.87e-1
900,-74.63234683,3.56e-1
1000,-74.65657113,4.48e-1
1100,-74.61397675,3.12e-1
1200,-74.65117496,3.01e-1
1300,-74.66980708,3.35e-1
1400,-74.67969291,2.54e-1
1500,-74.68169843,2.09e-1
1600,-74.69802848,3.31e-1
1700,-74.68839479,2.08e-1
1800,-74.65192809,1.15e-1
1900,-74.70430375,2.41e-1
2000,-74.68738648,1.96e-1
