step,E,var
0,-64.64232271,1.54e-2
100,-64.64295325,5.10e-3
200,-64.64161509,4.37e-6
300,-64.64144747,1.51e-4
400,-64.64084583,1.90e-4
500,-64.64161452,5.42e-5
600,-64.64147313,1.45e-6
700,-64.64147581,1.53e-6
800,-64.64142929,2.25e-6
900,-64.64120256,6.42e-5
1000,-64.64147732,6.67e-5
1100,-64.64147947,2.64e-4
1200,-64.64134912,3.07e-5
1300,-64.64157968,1.97e-5
1400,-64.64103913,2.12e-4
1500,-64.64152063,4.93e-6
1600,-64.64140698,1.38e-5
1700,-64.64139758,5.88e-5
1800,-64.64153680,6.55e-7
1900,-64.64146315,8.19e-6
2000,-64.64147041,2.81e-6
