step,E,var
0,-74.24950892,1.60e+0
100,-74.69429650,6.93e-2
200,-74.71495471,3.09e-2
300,-74.72519830,1.73e-2
400,-74.74071852,1.35e-2
500,-74.73015172,7.83e-3
600,-74.73469977,9.34e-3
700,-74.72851968,5.68e-3
800,-74.73391834,7.03e-3
900,-74.73612644,6.33e-3
1000,-74.73607470,7.01e-3
1100,-74.73757880,4.98e-3
1200,-74.73762677,5.09e-3
1300,-74.73817022,3.72e-3
1400,-74.74025408,2.00e-3
1500,-74.73870599,2.27e-3
1600,-74.73520742,2.76e-3
1700,-74.73438105,6.15e-3
1800,-74.73704013,2.39e-3
1900,-74.73762168,1.82e-3
2000,-74.73575741,4.54e-3
