step,E,var
0,-66.55605337,1.21e-1
100,-66.58034362,4.54e-2
200,-66.57384801,2.07e-3
300,-66.59193842,1.14e-1
400,-66.57673521,1.62e-2
500,-66.57844306,3.04e-2
600,-66.59456560,8.96e-2
700,-66.59025514,7.46e-2
800,-66.58651549,6.04e-2
900,-66.58728540,7.16e-2
1000,-66.58356296,3.85e-2
1100,-66.58238542,5.25e-2
1200,-66.57613370,1.46e-2
1300,-66.57624604,2.38e-2
1400,-66.57818910,1.11e-2
1500,-66.58418386,1.56e-2
1600,-66.58916857,3.04e-2
1700,-66.58472717,8.75e-3
1800,-66.58183227,7.10e-4
1900,-66.58516046,1.54e-2
2000,-66.58288687,3.42e-3
