step,E,var
0,-79.98885345,3.81e+0
100,-81.42358259,3.78e-1
200,-81.37830120,3.07e-1
300,-81.41585073,1.46e-1
400,-81.44999184,7.94e-2
500,-81.47574447,4.16e-2
600,-81.47237849,4.84e-2
700,-81.46398936,5.66e-2
800,-81.47657425,5.58e-2
900,-81.48425142,2.90e-2
1000,-81.46169212,3.18e-2
1100,-81.47991532,3.55e-2
1200,-81.46916510,2.17e-2
1300,-81.47585879,2.37e-2
1400,-81.47913981,1.97e-2
1500,-81.47339882,2.58e-2
1600,-81.48415550,2.05e-2
1700,-81.48814329,2.00e-2
1800,-81.47924363,2.32e-2
1900,-81.48500844,1.80e-2
2000,-81.48544607,1.96e-2
