step,E,var
0,-80.00290843,3.63e+0
100,-80.79438783,1.89e+0
200,-80.79200251,1.64e+0
300,-80.82668302,1.74e+0
400,-80.86572364,1.37e+0
500,-80.95788151,1.35e+0
600,-80.96154550,1.32e+0
700,-80.95326396,1.18e+0
800,-81.01161543,1.13e+0
900,-81.05024954,9.21e-1
1000,-81.16317430,1.03e+0
1100,-81.14136186,6.75e-1
1200,-81.19010557,6.65e-1
1300,-81.23131259,6.16e-1
1400,-81.26377231,5.84e-1
1500,-81.34382118,5.46e-1
1600,-81.34694086,4.51e-1
1700,-81.32158033,6.65e-1
1800,-81.31333685,4.41e-1
1900,-81.34338762,5.01e-1
2000,-81.33493751,4.51e-1
