step,E,var
0,-95.21393943,1.46e+1
100,-101.24938923,1.13e+0
200,-101.40398889,2.86e-1
300,-101.44377754,5.57e-2
400,-101.43566080,4.25e-2
500,-101.44541420,2.86e-2
600,-101.44815783,1.97e-2
700,-101.44833970,1.43e-2
800,-101.44945297,1.35e-2
900,-101.45546888,1.22e-2
1000,-101.44614341,1.19e-2
1100,-101.45859631,3.94e-2
1200,-101.44982947,1.15e-2
1300,-101.44282280,2.27e-2
1400,-101.45052578,9.08e-3
1500,-101.45242775,8.40e-3
1600,-101.45187018,8.17e-3
1700,-101.45680462,1.11e-1
1800,-101.44342201,8.61e-3
1900,-101.45317634,8.27e-3
2000,-101.45341719,7.68e-3
