step,E,var
0,-95.43045276,1.56e+1
100,-98.14406590,7.50e+0
200,-98.24560428,8.30e+0
300,-98.53935665,8.44e+0
400,-98.66644337,9.06e+0
500,-98.89343276,9.44e+0
600,-98.91222491,1.15e+1
700,-98.95957563,9.73e+0
800,-99.02122227,1.01e+1
900,-99.00442834,1.12e+1
1000,-99.22201881,9.63e+0
1100,-99.33028596,1.15e+1
1200,-99.19689826,9.31e+0
1300,-99.29882755,1.07e+1
1400,-99.40322480,9.71e+0
1500,-99.67444368,1.00e+1
1600,-99.65662694,9.26e+0
1700,-99.57377219,9.55e+0
1800,-99.42214617,1.18e+1
1900,-99.78054243,9.78e+0
2000,-99.56505625,9.82e+0
