net	variant	prec	arm	bs	workers	med_ms	min_ms	p90_ms	mean_ms	wait_ms	steps_ep	elapsed_s	note
mnv4	adamdp64	f32	fed	64	4	198	178	210	198	20	5004	154	
mnv4	adamdp64bf16	bf16	fed	64	4	136	109	152	136	27	5004	147	
