net	variant	prec	arm	bs	workers	med_ms	min_ms	p90_ms	mean_ms	wait_ms	steps_ep	elapsed_s	note
mnv4	adamdp64	f32	synth	64	4	146	143	147	145	3	5004	104	
mnv4	adamdp64bf16	bf16	synth	64	4	88	85	89	87	3	5004	102	
