net	variant	prec	arm	bs	workers	med_ms	min_ms	p90_ms	mean_ms	wait_ms	steps_ep	elapsed_s	note
mnv4	adamdp128bf16	bf16	synth	128	4	162	159	163	161	3	2502	154	
mnv4	adamdp128bf16	bf16	fed	128	4	260	216	282	362	44	2502	274	
