net	variant	prec	arm	bs	workers	med_ms	min_ms	p90_ms	mean_ms	wait_ms	steps_ep	elapsed_s	note
mnv4w6	adamdp128bf16	bf16	fed	128	6	282	186	324	523	96	2502	351	
mnv4w8	adamdp128bf16	bf16	fed	128	8	320	185	501	678	135	2502	520	
