epoch,loss,val_acc_gauss,val_acc_real
1,0.393750,76.946000,75.572000
2,0.256730,93.777000,93.417000
3,0.229560,88.714000,87.741000
4,0.206460,92.615000,92.378000
5,0.148350,91.634000,91.323000
6,0.037320,90.816000,90.236000
