utc	epoch	pid	etime_s	rss_gib	arena_class_gib	arena_class_maps	threads
2026-09-22 21:24:37	24	247321	22268	4.88	3.44	320	168
2026-09-22 21:40:38	25	246834	23235	5.04	3.60	328	168
2026-09-22 21:40:38	25	246946	23233	5.14	3.72	321	168
2026-09-22 21:40:38	25	247123	23231	5.18	3.83	327	168
2026-09-22 21:40:38	25	247321	23229	5.04	3.57	321	168
2026-09-22 21:56:09	26	246834	24166	5.15	3.69	327	168
2026-09-22 21:56:09	26	246946	24164	5.17	3.73	326	168
2026-09-22 21:56:09	26	247123	24162	5.24	3.88	327	168
2026-09-22 21:56:09	26	247321	24160	5.05	3.66	320	168
2026-09-22 22:12:09	27	246834	25127	4.93	3.48	326	168
2026-09-22 22:12:09	27	246946	25125	5.05	3.64	321	168
2026-09-22 22:12:10	27	247123	25123	4.94	3.57	328	168
2026-09-22 22:12:10	27	247321	25121	4.87	3.43	322	168
2026-09-22 22:27:40	28	246834	26058	5.11	3.67	326	168
2026-09-22 22:27:40	28	246946	26056	5.07	3.67	323	168
2026-09-22 22:27:40	28	247123	26054	5.17	3.80	327	168
2026-09-22 22:27:40	28	247321	26052	4.84	3.52	319	168
2026-09-22 22:43:41	29	246834	27018	5.17	3.70	326	168
2026-09-22 22:43:41	29	246946	27017	5.25	3.83	325	168
2026-09-22 22:43:41	29	247123	27015	5.20	3.83	327	168
2026-09-22 22:43:41	29	247321	27013	5.06	3.62	320	168
2026-09-22 22:59:12	30	246834	27949	5.19	3.74	325	168
2026-09-22 22:59:12	30	246946	27947	5.33	3.91	323	168
2026-09-22 22:59:12	30	247123	27945	5.17	3.79	329	168
2026-09-22 22:59:12	30	247321	27943	5.09	3.66	319	168
2026-09-22 23:15:13	31	246834	28910	5.19	3.73	325	168
2026-09-22 23:15:13	31	246946	28908	5.35	3.90	325	168
2026-09-22 23:15:13	31	247123	28906	5.19	3.81	328	168
2026-09-22 23:15:13	31	247321	28904	5.18	3.74	319	168
2026-09-22 23:30:43	32	246834	29841	5.21	3.74	325	168
2026-09-22 23:30:44	32	246946	29839	5.36	3.91	324	168
2026-09-22 23:30:44	32	247123	29837	5.21	3.83	328	168
2026-09-22 23:30:44	32	247321	29835	5.24	3.77	321	168
2026-09-22 23:46:44	33	246834	30802	5.15	3.70	325	168
2026-09-22 23:46:44	33	246946	30800	5.32	3.88	326	168
2026-09-22 23:46:45	33	247123	30798	5.13	3.78	329	168
2026-09-22 23:46:45	33	247321	30796	5.01	3.60	319	168
2026-09-23 00:02:15	34	246834	31733	5.25	3.78	325	168
2026-09-23 00:02:15	34	246946	31731	5.44	4.00	325	168
2026-09-23 00:02:15	34	247123	31729	5.23	3.85	329	168
2026-09-23 00:02:15	34	247321	31727	5.15	3.71	321	168
2026-09-23 00:18:16	35	246834	32693	4.90	3.47	322	168
