agent_steps,updates,eval_mean,eval_se
0,0,-18.450,0.328
25000,3750,-16.300,0.579
50000,10000,-7.750,1.189
75000,16250,5.000,1.007
100000,22500,7.200,1.050
125000,28750,13.400,0.545
150000,35000,13.100,1.049
175000,41250,14.750,0.628
200000,47500,15.000,0.458
225000,53750,15.350,0.597
250000,60000,16.400,0.507
275000,66250,16.250,0.429
300000,72500,16.350,0.558
325000,78750,16.000,0.624
350000,85000,15.950,0.371
375000,91250,14.250,0.570
400000,97500,16.600,0.517
425000,103750,17.150,0.530
450000,110000,16.500,0.371
475000,116250,15.950,0.497
500000,122500,16.400,0.602
