agent_steps,updates,eval_mean,eval_se
0,0,-18.800,0.305
25000,3750,-13.250,0.556
50000,10000,-9.300,0.791
75000,16250,-3.500,1.354
100000,22500,1.400,1.173
125000,28750,0.300,1.308
150000,35000,2.600,1.372
175000,41250,5.600,0.965
200000,47500,2.300,1.039
225000,53750,4.450,1.101
250000,60000,3.600,0.986
275000,66250,5.100,0.995
300000,72500,4.850,1.110
325000,78750,4.300,1.371
350000,85000,6.950,1.159
375000,91250,5.500,1.078
400000,97500,6.950,1.031
425000,103750,8.750,1.086
450000,110000,5.800,0.876
475000,116250,3.650,1.400
500000,122500,5.600,1.248
