agent_steps,updates,eval_mean,eval_se
0,0,-18.350,0.294
25000,3750,-20.200,0.195
50000,10000,-17.050,0.427
75000,16250,-0.500,1.258
100000,22500,1.400,1.506
125000,28750,9.550,1.218
150000,35000,11.300,0.975
175000,41250,7.400,0.881
200000,47500,6.200,0.902
225000,53750,6.950,1.092
250000,60000,8.900,1.034
275000,66250,13.400,0.646
300000,72500,12.000,1.075
325000,78750,13.250,0.587
350000,85000,13.050,0.705
375000,91250,12.300,0.660
400000,97500,14.100,0.600
425000,103750,13.750,0.721
450000,110000,12.600,0.826
475000,116250,14.250,0.543
500000,122500,14.250,0.543
