agent_steps,updates,eval_mean,eval_se
0,0,-15.950,0.409
25000,3750,-18.500,0.320
50000,10000,-11.950,0.808
75000,16250,-3.700,0.967
100000,22500,7.900,0.860
125000,28750,11.100,0.777
150000,35000,11.850,0.762
175000,41250,13.800,0.650
200000,47500,14.250,0.538
225000,53750,15.800,0.602
250000,60000,8.850,0.925
275000,66250,13.100,0.565
300000,72500,14.000,0.543
325000,78750,12.850,0.766
350000,85000,15.850,0.562
375000,91250,16.350,0.521
400000,97500,14.300,0.592
425000,103750,15.600,0.683
450000,110000,16.700,0.539
475000,116250,15.300,0.693
500000,122500,15.550,0.433
