agent_steps,updates,eval_mean,eval_se
0,0,-18.350,0.294
25000,3750,-20.300,0.160
50000,10000,-16.700,0.375
75000,16250,-3.400,1.134
100000,22500,-0.900,1.239
125000,28750,5.750,1.340
150000,35000,8.400,0.988
175000,41250,8.850,0.785
200000,47500,11.350,0.732
225000,53750,6.900,1.012
250000,60000,12.700,0.755
275000,66250,10.250,0.877
300000,72500,9.850,1.045
325000,78750,12.950,0.811
350000,85000,11.500,0.918
375000,91250,12.200,0.888
400000,97500,10.650,0.939
425000,103750,9.600,1.050
450000,110000,14.400,0.626
475000,116250,9.100,0.932
500000,122500,13.150,0.701
