agent_steps,updates,eval_mean,eval_se
0,0,-19.350,0.237
25000,3750,-17.600,0.540
50000,10000,-12.450,0.622
75000,16250,-5.300,1.263
100000,22500,-5.400,0.920
125000,28750,7.300,1.013
150000,35000,8.400,0.955
175000,41250,10.100,0.738
200000,47500,10.750,1.091
225000,53750,12.650,0.766
250000,60000,10.900,0.781
275000,66250,10.200,0.716
300000,72500,12.350,0.571
325000,78750,11.800,0.662
350000,85000,13.400,0.482
375000,91250,12.600,0.746
400000,97500,13.800,0.590
425000,103750,14.800,0.680
450000,110000,12.250,0.728
475000,116250,15.050,0.581
500000,122500,13.600,0.726
