agent_steps,updates,eval_mean,eval_se
0,0,-18.450,0.328
25000,3750,-15.950,0.626
50000,10000,-2.150,1.456
75000,16250,1.550,1.422
100000,22500,8.250,0.696
125000,28750,11.000,0.738
150000,35000,10.600,1.112
175000,41250,14.000,0.660
200000,47500,14.150,0.729
225000,53750,14.100,0.717
250000,60000,15.200,0.532
275000,66250,15.250,0.636
300000,72500,15.850,0.694
325000,78750,15.150,0.753
350000,85000,17.350,0.486
375000,91250,15.650,0.630
400000,97500,16.850,0.516
425000,103750,16.800,0.358
450000,110000,17.200,0.493
475000,116250,16.700,0.413
500000,122500,15.450,0.736
