step,E,var
0,-79.98885345,3.81e+0
100,-81.14282628,3.95e-1
200,-81.39940336,1.57e-1
300,-81.42101392,1.43e-1
400,-81.46605172,7.10e-2
500,-81.47169931,4.85e-2
600,-81.45933178,4.83e-2
700,-81.46667871,4.76e-2
800,-81.47573679,5.00e-2
900,-81.46996126,3.18e-2
1000,-81.47826200,4.40e-2
1100,-81.48400042,3.97e-2
1200,-81.47400609,2.18e-2
1300,-81.47261915,2.88e-2
1400,-81.47762237,3.22e-2
1500,-81.47314316,2.09e-2
1600,-81.47913874,2.33e-2
1700,-81.47765007,2.34e-2
1800,-81.48344975,2.70e-2
1900,-81.48364229,2.48e-2
2000,-81.47560978,2.08e-2
2100,-81.47826394,2.27e-2
2200,-81.48133738,2.55e-2
2300,-81.48041100,2.12e-2
2400,-81.47792860,2.01e-2
2500,-81.47972741,3.06e-2
2600,-81.47243423,1.92e-2
2700,-81.49083558,2.03e-2
2800,-81.48168230,2.23e-2
2900,-81.47874709,1.73e-2
3000,-81.48109765,1.75e-2
3100,-81.48306134,1.93e-2
3200,-81.48408168,2.24e-2
3300,-81.48659638,1.71e-2
3400,-81.47843826,2.20e-2
3500,-81.48353334,2.07e-2
3600,-81.47504524,1.98e-2
3700,-81.48305809,1.77e-2
3800,-81.48326130,1.60e-2
3900,-81.48026570,2.08e-2
4000,-81.47454236,2.11e-2
