epoch,loss,val_acc,test_acc
1,1.660420,84.437000,85.640000
2,0.296190,93.024000,93.653000
3,0.160010,94.560000,95.189000
4,0.121620,95.318000,96.058000
5,0.096990,95.522000,96.521000
6,0.083960,95.984000,95.966000
7,0.065420,95.503000,95.818000
8,0.057980,96.965000,97.687000
9,0.046970,96.743000,97.224000
10,0.044930,97.206000,97.668000
11,0.032560,96.743000,97.409000
12,0.025810,97.594000,98.094000
13,0.026910,97.742000,98.353000
14,0.017020,97.872000,98.372000
15,0.013920,98.150000,98.427000
16,0.006220,98.187000,98.242000
17,0.009100,97.465000,98.094000
18,0.014950,98.168000,98.557000
19,0.004920,98.316000,98.501000
20,0.003500,98.335000,98.575000
21,0.002840,98.335000,98.686000
22,0.002730,98.279000,98.668000
23,0.002410,98.390000,98.816000
24,0.002080,98.353000,98.779000
25,0.001970,98.390000,98.705000
26,0.001790,98.390000,98.723000
27,0.001690,98.409000,98.723000
28,0.001600,98.353000,98.816000
29,0.001550,98.353000,98.779000
30,0.001470,98.353000,98.742000
