epoch,loss,val_acc,test_acc
1,1.659350,85.289000,86.621000
2,0.296600,94.004000,94.615000
3,0.159890,94.430000,94.634000
4,0.118520,95.281000,96.262000
5,0.092260,95.725000,96.262000
6,0.084320,94.893000,95.688000
7,0.063070,95.411000,95.910000
8,0.056830,96.947000,97.372000
9,0.045830,97.243000,97.890000
10,0.041660,94.208000,95.263000
11,0.030400,97.243000,97.835000
12,0.031050,97.465000,97.946000
13,0.017950,97.705000,98.057000
14,0.024510,98.094000,98.335000
15,0.011310,97.983000,98.075000
16,0.010670,98.038000,98.427000
17,0.012430,97.853000,98.279000
18,0.006860,98.038000,98.427000
19,0.005420,98.113000,98.668000
20,0.004900,98.113000,98.409000
21,0.003400,98.353000,98.538000
22,0.002370,98.335000,98.705000
23,0.002000,98.316000,98.686000
24,0.002100,98.335000,98.668000
25,0.001940,98.335000,98.686000
26,0.001740,98.409000,98.612000
27,0.001660,98.335000,98.631000
28,0.001560,98.316000,98.668000
29,0.001490,98.335000,98.649000
30,0.001440,98.372000,98.668000
