epoch,loss,val_acc_gauss,val_acc_real
1,0.388870,87.545000,86.793000
2,0.281240,92.419000,91.724000
3,0.258490,92.763000,90.922000
4,0.243400,92.942000,92.427000
5,0.212720,88.232000,86.564000
6,0.178010,91.708000,90.972000
