epoch,loss,val_acc,pd_all_acc
1,0.442250,94.183000,13.770000
2,0.138330,95.988000,16.563000
3,0.095360,96.845000,12.141000
4,0.071380,98.559000,16.447000
5,0.052640,97.739000,17.223000
6,0.035020,99.052000,16.602000
7,0.017730,99.234000,15.361000
8,0.009270,99.654000,17.106000
9,0.003960,99.690000,16.602000
10,0.002800,99.690000,16.486000
