utc	epoch	pid	etime_s	rss_gib	arena_class_gib	arena_class_maps	threads
2026-09-24 19:31:52	12	1097888	15131	4.84	3.68	354	168
2026-09-24 19:31:52	12	1098094	15128	4.83	3.80	360	168
2026-09-24 19:31:53	12	1098275	15126	4.73	3.64	354	168
2026-09-24 19:31:53	12	1098459	15123	4.96	3.83	363	168
2026-09-24 19:52:53	13	1097148	16402	4.80	3.67	400	168
2026-09-24 19:52:53	13	1097262	16400	4.89	3.75	366	168
2026-09-24 19:52:53	13	1097442	16398	4.84	3.72	365	168
2026-09-24 19:52:54	13	1097667	16395	4.76	3.63	350	168
2026-09-24 19:52:54	13	1097888	16392	4.81	3.67	354	168
2026-09-24 19:52:54	13	1098094	16390	4.88	3.85	364	168
2026-09-24 19:52:54	13	1098275	16387	4.86	3.74	355	168
2026-09-24 19:52:54	13	1098459	16385	4.95	3.83	358	168
2026-09-24 20:13:25	14	1097148	17633	4.82	3.68	396	168
2026-09-24 20:13:25	14	1097262	17631	4.87	3.73	371	168
2026-09-24 20:13:25	14	1097442	17629	4.81	3.69	360	168
2026-09-24 20:13:25	14	1097667	17626	4.85	3.66	353	168
2026-09-24 20:13:25	14	1097888	17624	4.84	3.71	357	168
2026-09-24 20:13:25	14	1098094	17621	4.85	3.80	359	168
2026-09-24 20:13:25	14	1098275	17619	4.80	3.69	359	168
2026-09-24 20:13:25	14	1098459	17616	4.99	3.84	355	168
2026-09-24 20:34:26	15	1097148	18894	4.92	3.75	390	168
2026-09-24 20:34:26	15	1097262	18893	4.90	3.77	365	168
2026-09-24 20:34:26	15	1097442	18890	4.89	3.76	359	168
2026-09-24 20:34:26	15	1097667	18888	4.90	3.74	349	168
2026-09-24 20:34:26	15	1097888	18885	4.83	3.70	353	168
2026-09-24 20:34:26	15	1098094	18882	4.91	3.79	356	168
2026-09-24 20:34:26	15	1098275	18880	4.86	3.74	358	168
2026-09-24 20:34:27	15	1098459	18877	5.01	3.87	356	168
2026-09-24 20:55:27	16	1097148	20156	4.83	3.67	388	168
2026-09-24 20:55:27	16	1097262	20154	4.86	3.72	361	168
2026-09-24 20:55:27	16	1097442	20151	4.81	3.71	357	168
2026-09-24 20:55:27	16	1097667	20149	4.86	3.72	343	168
2026-09-24 20:55:28	16	1097888	20146	4.80	3.68	355	168
2026-09-24 20:55:28	16	1098094	20144	4.80	3.70	359	168
2026-09-24 20:55:28	16	1098275	20141	4.90	3.81	355	168
2026-09-24 20:55:28	16	1098459	20138	4.86	3.73	356	168
2026-09-24 21:16:28	17	1097148	21417	4.75	3.67	390	168
2026-09-24 21:16:29	17	1097262	21415	4.95	3.80	361	168
2026-09-24 21:16:29	17	1097442	21413	4.82	3.69	355	168
2026-09-24 21:16:29	17	1097667	21410	4.94	3.79	345	168
2026-09-24 21:16:29	17	1097888	21408	4.92	3.78	355	168
2026-09-24 21:16:29	17	1098094	21405	4.87	3.74	359	168
