[Epoch 40] lr=0.000247 loss(train_avg)=3.9441 val_top1=37086/50000 (0.7417) val_top5=0.9198 val_loss=1.1281  [898.4s train, 17.7s val]
[Epoch 41] lr=0.000247 loss(train_avg)=3.9293 val_top1=37194/50000 (0.7439) val_top5=0.9215 val_loss=1.1199  [898.7s train, 17.6s val]
[Epoch 42] lr=0.000246 loss(train_avg)=3.9234 val_top1=37279/50000 (0.7456) val_top5=0.9225 val_loss=1.1122  [898.5s train, 17.8s val]
[Epoch 43] lr=0.000246 loss(train_avg)=3.8858 val_top1=37368/50000 (0.7474) val_top5=0.9233 val_loss=1.1022  [898.3s train, 17.6s val]
[Epoch 44] lr=0.000245 loss(train_avg)=3.9093 val_top1=37448/50000 (0.749) val_top5=0.9242 val_loss=1.0951  [897.6s train, 17.7s val]
[Epoch 45] lr=0.000245 loss(train_avg)=3.8943 val_top1=37544/50000 (0.7509) val_top5=0.925 val_loss=1.0878  [898.3s train, 17.6s val]
[Epoch 46] lr=0.000245 loss(train_avg)=3.8659 val_top1=37580/50000 (0.7516) val_top5=0.9265 val_loss=1.0812  [898.4s train, 17.6s val]
[Epoch 47] lr=0.000244 loss(train_avg)=3.8406 val_top1=37677/50000 (0.7535) val_top5=0.9267 val_loss=1.0748  [898.4s train, 17.6s val]
[Epoch 48] lr=0.000244 loss(train_avg)=3.8472 val_top1=37736/50000 (0.7547) val_top5=0.9268 val_loss=1.0684  [897.4s train, 17.7s val]
[Epoch 49] lr=0.000243 loss(train_avg)=3.8306 val_top1=37800/50000 (0.756) val_top5=0.9272 val_loss=1.0609  [897.6s train, 17.6s val]
[Epoch 50] lr=0.000243 loss(train_avg)=3.8261 val_top1=37859/50000 (0.7572) val_top5=0.9287 val_loss=1.0558  [900.1s train, 17.6s val]
[Epoch 51] lr=0.000243 loss(train_avg)=3.8125 val_top1=37919/50000 (0.7584) val_top5=0.9291 val_loss=1.05  [903.7s train, 17.7s val]
[Epoch 52] lr=0.000242 loss(train_avg)=3.808 val_top1=38003/50000 (0.7601) val_top5=0.9297 val_loss=1.0445  [898.9s train, 17.6s val]
[Epoch 53] lr=0.000242 loss(train_avg)=3.8142 val_top1=38063/50000 (0.7613) val_top5=0.9303 val_loss=1.0389  [898.5s train, 17.6s val]
[Epoch 54] lr=0.000241 loss(train_avg)=3.7932 val_top1=38128/50000 (0.7626) val_top5=0.931 val_loss=1.0347  [898.5s train, 17.7s val]
[Epoch 55] lr=0.00024 loss(train_avg)=3.8053 val_top1=38149/50000 (0.763) val_top5=0.9309 val_loss=1.0313  [898.6s train, 17.6s val]
[Epoch 56] lr=0.00024 loss(train_avg)=3.7776 val_top1=38202/50000 (0.764) val_top5=0.9319 val_loss=1.0279  [898.6s train, 17.6s val]
[Epoch 57] lr=0.000239 loss(train_avg)=3.7788 val_top1=38259/50000 (0.7652) val_top5=0.9326 val_loss=1.0247  [898.6s train, 17.7s val]
[Epoch 58] lr=0.000239 loss(train_avg)=3.7613 val_top1=38330/50000 (0.7666) val_top5=0.933 val_loss=1.0191  [898.3s train, 17.6s val]
[Epoch 59] lr=0.000238 loss(train_avg)=3.7574 val_top1=38350/50000 (0.767) val_top5=0.9337 val_loss=1.0137  [898.5s train, 17.8s val]
[Epoch 60] lr=0.000238 loss(train_avg)=3.7642 val_top1=38400/50000 (0.768) val_top5=0.9343 val_loss=1.0096  [898.2s train, 17.6s val]
[Epoch 61] lr=0.000237 loss(train_avg)=3.7611 val_top1=38487/50000 (0.7697) val_top5=0.9341 val_loss=1.0064  [898.4s train, 20.7s val]
[Epoch 62] lr=0.000236 loss(train_avg)=3.7435 val_top1=38467/50000 (0.7693) val_top5=0.9343 val_loss=1.0012  [900.0s train, 17.6s val]
[Epoch 63] lr=0.000236 loss(train_avg)=3.7491 val_top1=38488/50000 (0.7698) val_top5=0.9355 val_loss=0.9981  [899.9s train, 17.6s val]
[Epoch 64] lr=0.000235 loss(train_avg)=3.7297 val_top1=38547/50000 (0.7709) val_top5=0.9362 val_loss=0.996  [899.9s train, 17.6s val]
[Epoch 65] lr=0.000234 loss(train_avg)=3.7385 val_top1=38551/50000 (0.771) val_top5=0.9361 val_loss=0.9936  [898.8s train, 17.7s val]
[Epoch 66] lr=0.000234 loss(train_avg)=3.7266 val_top1=38579/50000 (0.7716) val_top5=0.9365 val_loss=0.9909  [898.8s train, 17.7s val]
[Epoch 67] lr=0.000233 loss(train_avg)=3.7179 val_top1=38588/50000 (0.7718) val_top5=0.9363 val_loss=0.989  [899.0s train, 17.6s val]
[Epoch 68] lr=0.000232 loss(train_avg)=3.7098 val_top1=38642/50000 (0.7728) val_top5=0.9371 val_loss=0.9861  [898.9s train, 17.7s val]
[Epoch 69] lr=0.000232 loss(train_avg)=3.7087 val_top1=38670/50000 (0.7734) val_top5=0.9377 val_loss=0.9834  [898.8s train, 17.6s val]
[Epoch 70] lr=0.000231 loss(train_avg)=3.7003 val_top1=38743/50000 (0.7749) val_top5=0.938 val_loss=0.9797  [899.0s train, 18.0s val]
[Epoch 71] lr=0.00023 loss(train_avg)=3.6914 val_top1=38774/50000 (0.7755) val_top5=0.9373 val_loss=0.9775  [900.1s train, 17.6s val]
[Epoch 72] lr=0.000229 loss(train_avg)=3.6838 val_top1=38831/50000 (0.7766) val_top5=0.9375 val_loss=0.9737  [900.8s train, 17.7s val]
[Epoch 73] lr=0.000229 loss(train_avg)=3.6848 val_top1=38854/50000 (0.7771) val_top5=0.9381 val_loss=0.9706  [900.4s train, 17.6s val]
[Epoch 74] lr=0.000228 loss(train_avg)=3.6838 val_top1=38906/50000 (0.7781) val_top5=0.9389 val_loss=0.9675  [899.1s train, 17.7s val]
[Epoch 75] lr=0.000227 loss(train_avg)=3.6822 val_top1=38889/50000 (0.7778) val_top5=0.9395 val_loss=0.9664  [901.0s train, 17.6s val]
[Epoch 76] lr=0.000226 loss(train_avg)=3.6763 val_top1=38863/50000 (0.7773) val_top5=0.9398 val_loss=0.9644  [899.0s train, 17.8s val]
[Epoch 77] lr=0.000225 loss(train_avg)=3.6636 val_top1=38942/50000 (0.7788) val_top5=0.9399 val_loss=0.9619  [899.3s train, 17.6s val]
[Epoch 78] lr=0.000224 loss(train_avg)=3.6632 val_top1=38981/50000 (0.7796) val_top5=0.9396 val_loss=0.9605  [899.1s train, 17.6s val]
[Epoch 79] lr=0.000224 loss(train_avg)=3.6617 val_top1=38931/50000 (0.7786) val_top5=0.9398 val_loss=0.9598  [899.2s train, 17.6s val]
[Epoch 80] lr=0.000223 loss(train_avg)=3.6603 val_top1=38991/50000 (0.7798) val_top5=0.9404 val_loss=0.9587  [899.3s train, 17.6s val]
[Epoch 81] lr=0.000222 loss(train_avg)=3.6558 val_top1=38977/50000 (0.7795) val_top5=0.9405 val_loss=0.9563  [898.7s train, 17.8s val]
[Epoch 82] lr=0.000221 loss(train_avg)=3.6446 val_top1=39047/50000 (0.7809) val_top5=0.9408 val_loss=0.9534  [898.9s train, 17.6s val]
[Epoch 83] lr=0.00022 loss(train_avg)=3.6441 val_top1=39053/50000 (0.7811) val_top5=0.9411 val_loss=0.9498  [899.0s train, 17.7s val]
[Epoch 84] lr=0.000219 loss(train_avg)=3.651 val_top1=39058/50000 (0.7812) val_top5=0.941 val_loss=0.9477  [899.0s train, 17.6s val]
[Epoch 85] lr=0.000218 loss(train_avg)=3.6373 val_top1=39080/50000 (0.7816) val_top5=0.941 val_loss=0.9448  [898.7s train, 17.6s val]
[Epoch 86] lr=0.000217 loss(train_avg)=3.6285 val_top1=39134/50000 (0.7827) val_top5=0.9415 val_loss=0.9415  [899.3s train, 17.6s val]
[Epoch 87] lr=0.000216 loss(train_avg)=3.6225 val_top1=39198/50000 (0.784) val_top5=0.9414 val_loss=0.9383  [899.2s train, 17.8s val]
[Epoch 88] lr=0.000215 loss(train_avg)=3.6299 val_top1=39167/50000 (0.7833) val_top5=0.9423 val_loss=0.9371  [899.3s train, 17.6s val]
[Epoch 89] lr=0.000214 loss(train_avg)=3.6201 val_top1=39154/50000 (0.7831) val_top5=0.9426 val_loss=0.9362  [898.9s train, 17.7s val]
[Epoch 90] lr=0.000213 loss(train_avg)=3.6069 val_top1=39179/50000 (0.7836) val_top5=0.9428 val_loss=0.9352  [899.0s train, 17.6s val]
[Epoch 91] lr=0.000212 loss(train_avg)=3.6041 val_top1=39217/50000 (0.7843) val_top5=0.9429 val_loss=0.9334  [898.7s train, 17.6s val]
[Epoch 92] lr=0.000211 loss(train_avg)=3.6065 val_top1=39214/50000 (0.7843) val_top5=0.9429 val_loss=0.9318  [899.3s train, 17.6s val]
[Epoch 93] lr=0.00021 loss(train_avg)=3.6015 val_top1=39291/50000 (0.7858) val_top5=0.9435 val_loss=0.9308  [899.1s train, 17.8s val]
[Epoch 94] lr=0.000209 loss(train_avg)=3.6003 val_top1=39285/50000 (0.7857) val_top5=0.943 val_loss=0.9296  [898.6s train, 17.6s val]
[Epoch 95] lr=0.000208 loss(train_avg)=3.6006 val_top1=39308/50000 (0.7862) val_top5=0.9431 val_loss=0.9282  [898.8s train, 17.6s val]
[Epoch 96] lr=0.000207 loss(train_avg)=3.6048 val_top1=39277/50000 (0.7855) val_top5=0.9436 val_loss=0.9267  [898.6s train, 17.6s val]
[Epoch 97] lr=0.000206 loss(train_avg)=3.5956 val_top1=39286/50000 (0.7857) val_top5=0.9436 val_loss=0.9229  [899.0s train, 17.7s val]
[Epoch 98] lr=0.000205 loss(train_avg)=3.5821 val_top1=39335/50000 (0.7867) val_top5=0.9438 val_loss=0.9209  [899.1s train, 17.9s val]
[Epoch 99] lr=0.000204 loss(train_avg)=3.5776 val_top1=39369/50000 (0.7874) val_top5=0.9438 val_loss=0.9201  [899.3s train, 17.6s val]
[Epoch 100] lr=0.000203 loss(train_avg)=3.5772 val_top1=39395/50000 (0.7879) val_top5=0.9442 val_loss=0.9189  [898.9s train, 17.7s val]
[Epoch 101] lr=0.000202 loss(train_avg)=3.573 val_top1=39392/50000 (0.7878) val_top5=0.9444 val_loss=0.9181  [900.8s train, 17.6s val]
[Epoch 102] lr=0.000201 loss(train_avg)=3.5764 val_top1=39391/50000 (0.7878) val_top5=0.944 val_loss=0.9173  [900.4s train, 17.7s val]
[Epoch 103] lr=0.0002 loss(train_avg)=3.5705 val_top1=39410/50000 (0.7882) val_top5=0.9439 val_loss=0.9151  [899.7s train, 17.6s val]
[Epoch 104] lr=0.000198 loss(train_avg)=3.5829 val_top1=39439/50000 (0.7888) val_top5=0.944 val_loss=0.914  [899.3s train, 17.9s val]
[Epoch 105] lr=0.000197 loss(train_avg)=3.565 val_top1=39410/50000 (0.7882) val_top5=0.9443 val_loss=0.9134  [900.4s train, 17.6s val]
[Epoch 106] lr=0.000196 loss(train_avg)=3.5613 val_top1=39459/50000 (0.7892) val_top5=0.9447 val_loss=0.9121  [899.1s train, 17.7s val]
[Epoch 107] lr=0.000195 loss(train_avg)=3.5691 val_top1=39500/50000 (0.79) val_top5=0.9444 val_loss=0.9106  [899.2s train, 17.6s val]
[Epoch 108] lr=0.000194 loss(train_avg)=3.5493 val_top1=39572/50000 (0.7914) val_top5=0.9451 val_loss=0.9085  [900.2s train, 17.7s val]
[Epoch 109] lr=0.000193 loss(train_avg)=3.5452 val_top1=39581/50000 (0.7916) val_top5=0.9444 val_loss=0.9084  [900.3s train, 17.6s val]
[Epoch 110] lr=0.000192 loss(train_avg)=3.5479 val_top1=39552/50000 (0.791) val_top5=0.945 val_loss=0.9074  [900.2s train, 17.8s val]
