epoch,loss,val_acc_gauss,val_acc_real
1,0.430530,91.699000,91.413000
2,0.274690,92.632000,92.460000
3,0.242410,81.730000,80.348000
4,0.224900,93.572000,93.294000
5,0.193290,93.580000,93.114000
6,0.150310,92.076000,91.757000
