epoch,loss,val_acc_gauss,val_acc_real
1,0.526450,90.260000,89.442000
2,0.393770,92.893000,92.100000
3,0.367580,86.286000,84.756000
4,0.348420,91.176000,90.391000
5,0.319860,92.092000,91.176000
6,0.289000,91.470000,90.448000
