epoch,loss,val_acc,pd_all_acc
1,0.416680,82.513000,13.770000
2,0.133050,93.563000,16.990000
3,0.089620,95.988000,14.585000
4,0.067230,97.557000,16.912000
5,0.048690,97.903000,17.921000
6,0.029520,98.815000,16.990000
7,0.017520,99.088000,16.912000
8,0.007490,99.289000,17.572000
9,0.003190,99.416000,18.309000
10,0.001800,99.453000,18.813000
