epoch,loss,val_acc,pd_all_acc
1,0.418440,90.044000,15.671000
2,0.134980,95.861000,13.887000
3,0.086290,96.663000,15.477000
4,0.066950,97.994000,16.369000
5,0.047910,97.885000,15.593000
6,0.030510,98.796000,18.658000
7,0.016780,99.088000,14.663000
8,0.007640,99.325000,16.874000
9,0.002860,99.398000,18.348000
10,0.001990,99.380000,17.688000
