epoch,loss,val_acc,pd_all_acc
1,0.414950,85.503000,15.981000
2,0.132380,95.605000,14.663000
3,0.088010,97.502000,16.912000
4,0.066680,97.046000,17.184000
5,0.047150,97.921000,14.895000
6,0.031640,98.669000,17.455000
7,0.014320,98.760000,15.671000
8,0.007260,99.179000,18.386000
9,0.003430,99.271000,17.184000
10,0.002000,99.234000,17.649000
