epoch,loss,val_acc,pd_all_acc
1,0.486510,92.214000,12.374000
2,0.133590,95.770000,13.693000
3,0.081820,96.207000,12.956000
4,0.059070,97.538000,14.818000
5,0.040750,98.195000,12.723000
6,0.022470,98.833000,14.197000
7,0.015240,99.471000,15.050000
8,0.005520,99.471000,16.951000
9,0.003230,99.526000,16.563000
10,0.002470,99.672000,16.990000
