epoch,loss,val_acc,pd_all_acc
1,0.494920,90.135000,11.947000
2,0.127490,95.532000,11.288000
3,0.079560,96.098000,14.236000
4,0.055220,97.429000,15.749000
5,0.038080,96.444000,12.839000
6,0.024680,98.705000,14.818000
7,0.013660,99.034000,11.249000
8,0.005490,99.435000,12.723000
9,0.003030,99.471000,13.227000
10,0.002280,99.489000,13.615000
