epoch,loss,val_acc,pd_all_acc
1,0.487550,87.418000,15.361000
2,0.133970,96.116000,12.956000
3,0.080480,95.897000,15.438000
4,0.055050,97.739000,13.382000
5,0.035640,97.101000,12.141000
6,0.020350,98.778000,13.460000
7,0.015320,99.198000,15.400000
8,0.006840,99.489000,15.787000
9,0.003330,99.617000,15.710000
10,0.002190,99.654000,15.749000
