step,E,var
0,4.39799276,1.72e+0
500,-6.06306725,3.80e-1
1000,-6.18378231,3.25e-1
1500,-6.28595105,1.72e-1
2000,-6.30434672,1.60e-1
2500,-6.31559996,1.49e-1
3000,-6.32435990,1.39e-1
3500,-6.32979207,1.34e-1
4000,-6.33283306,1.28e-1
