step,E,var
0,-1.53333333,3.98e+0
500,-6.09210581,4.44e-1
1000,-6.40141041,2.83e-1
1500,-6.41573747,2.60e-1
2000,-6.45880755,1.82e-1
2500,-6.47025906,1.51e-1
3000,-6.47544881,1.47e-1
3500,-6.47832578,1.39e-1
4000,-6.47926319,1.36e-1
