step,E,var
0,-4.53333333,3.98e+0
500,-7.11849164,8.59e-2
1000,-7.13552850,3.20e-2
1500,-7.13789623,2.18e-2
2000,-7.13968794,1.40e-2
2500,-7.14026129,1.13e-2
3000,-7.14056214,9.68e-3
3500,-7.14071036,9.01e-3
4000,-7.14078234,8.61e-3
