step,E,var
0,1.89091520,3.45e+0
500,-6.29831863,1.02e+0
1000,-6.98426956,5.48e-1
1500,-7.11807253,1.18e-1
2000,-7.12883811,6.68e-2
2500,-7.13300969,4.65e-2
3000,-7.13477861,3.79e-2
3500,-7.13557557,3.40e-2
4000,-7.13595816,3.22e-2
