step,E,var
0,-3.53333333,3.98e+0
500,-6.43591760,4.46e-2
1000,-6.44122426,2.39e-2
1500,-6.44305977,1.68e-2
2000,-6.44398236,1.32e-2
2500,-6.44450002,1.12e-2
3000,-6.44478764,1.00e-2
3500,-6.44493361,9.46e-3
4000,-6.44501819,9.12e-3
