step,E,var
0,3.53177431,1.20e+0
500,-4.72655376,3.12e+0
1000,-6.44569487,9.80e-1
1500,-6.57396994,8.36e-1
2000,-6.63817289,7.07e-1
2500,-6.82443519,5.66e-1
3000,-6.92824706,3.97e-1
3500,-6.96195843,3.63e-1
4000,-6.98292912,3.45e-1
