step,E,var
0,-4.53333333,3.98e+0
500,-7.13281720,4.84e-2
1000,-7.13762352,2.47e-2
1500,-7.13914576,1.69e-2
2000,-7.13986685,1.33e-2
2500,-7.14024199,1.13e-2
3000,-7.14046357,1.02e-2
3500,-7.14058226,9.55e-3
4000,-7.14064615,9.21e-3
