step,E,var
0,2.35707858,4.55e+0
500,-5.92380609,4.40e-1
1000,-6.27225614,1.92e-1
1500,-6.31910293,1.81e-1
2000,-6.42149151,1.04e-1
2500,-6.42930601,7.39e-2
3000,-6.43238454,6.19e-2
3500,-6.43378015,5.62e-2
4000,-6.43450330,5.34e-2
