blackjack dqn: 6210 params, 200000 steps, batch 128, double DQN, seed 1
[pjrt_ffi] allocator: 1 create option(s), memory_fraction=0.100
I0911 16:45:55.849046 1907452 service.cc:154] XLA service 0x78e570028880 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
I0911 16:45:55.849076 1907452 service.cc:170]   StreamExecutor [0]: NVIDIA GeForce RTX 4060 Ti, Compute Capability 8.9 (Driver: 12.9.0[575.57.8]; Runtime: 12.9.0; Toolkit: 12.9.0; DNN: 9.23.2)
I0911 16:45:55.850576 1907452 se_gpu_pjrt_client.cc:1342] Using BFC allocator.
I0911 16:45:55.850618 1907452 gpu_helpers.cc:162] XLA backend allocating 1.56GiB (1673527296 bytes) on device 0 for BFCAllocator.
I0911 16:45:55.859511 1907452 cuda_dnn.cc:440] Loaded cuDNN version 92302
[pjrt_ffi] XLA backend: PJRT 0.114, 1 device(s)
[pjrt_ffi] command buffers: enabled (CUDA default)
I0911 16:45:56.789247 1907594 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_10', 4 bytes spill stores, 4 bytes spill loads

[pjrt_ffi] compiled .lake/build/blackjack_dqn_double_train_step.mlir (@main, 19 outputs, 1 replica) in 2594 ms
[pjrt_ffi] compiled .lake/build/blackjack_dqn_double_fwd_eval.mlir (@forward_eval, 1 outputs, 1 replica) in 758 ms
I0911 16:45:59.522839 1907583 subprocess_compilation.cc:349] ptxas warning : Registers are spilled to local memory in function 'gemm_fusion_dot_3', 24 bytes spill stores, 24 bytes spill loads

[pjrt_ffi] compiled .lake/build/blackjack_dqn_double_fwd_eval_all.mlir (@forward_eval, 1 outputs, 1 replica) in 722 ms
  sessions loaded
  update 55000  hands 37886  loss 0.2388  exact -0.0594  agree 183/200  (170368 ms)
  update 56000  hands 38532  loss 0.2394  exact -0.0527  agree 183/200  (173461 ms)
  update 57000  hands 39178  loss 0.2367  exact -0.0560  agree 185/200  (176570 ms)
  update 58000  hands 39854  loss 0.2380  exact -0.0576  agree 180/200  (179685 ms)
  update 59000  hands 40519  loss 0.2366  exact -0.0540  agree 185/200  (182810 ms)
  update 60000  hands 41193  loss 0.2385  exact -0.0567  agree 180/200  (185942 ms)
  update 61000  hands 41838  loss 0.2348  exact -0.0513  agree 184/200  (189099 ms)
  update 62000  hands 42483  loss 0.2361  exact -0.0563  agree 181/200  (192206 ms)
  update 63000  hands 43141  loss 0.2370  exact -0.0610  agree 179/200  (195331 ms)
  update 64000  hands 43789  loss 0.2373  exact -0.0563  agree 183/200  (198495 ms)
  update 65000  hands 44437  loss 0.2373  exact -0.0537  agree 181/200  (201721 ms)
  update 66000  hands 45096  loss 0.2363  exact -0.0526  agree 177/200  (204834 ms)
  update 67000  hands 45775  loss 0.2355  exact -0.0578  agree 177/200  (207970 ms)
  update 68000  hands 46430  loss 0.2362  exact -0.0596  agree 176/200  (211135 ms)
  update 69000  hands 47084  loss 0.2365  exact -0.0549  agree 174/200  (214237 ms)
  update 70000  hands 47736  loss 0.2344  exact -0.0580  agree 180/200  (217412 ms)
  update 71000  hands 48384  loss 0.2367  exact -0.0600  agree 178/200  (220492 ms)
  update 72000  hands 49034  loss 0.2357  exact -0.0577  agree 174/200  (223673 ms)
  update 73000  hands 49685  loss 0.2313  exact -0.0578  agree 172/200  (226815 ms)
  update 74000  hands 50342  loss 0.2318  exact -0.0666  agree 165/200  (229901 ms)
  update 75000  hands 50979  loss 0.2338  exact -0.0614  agree 169/200  (233040 ms)
  update 76000  hands 51608  loss 0.2358  exact -0.0587  agree 170/200  (236209 ms)
  update 77000  hands 52266  loss 0.2355  exact -0.0612  agree 173/200  (239339 ms)
  update 78000  hands 52916  loss 0.2335  exact -0.0567  agree 177/200  (242476 ms)
  update 79000  hands 53578  loss 0.2348  exact -0.0545  agree 178/200  (245613 ms)
  update 80000  hands 54231  loss 0.2373  exact -0.0565  agree 179/200  (248769 ms)
  update 81000  hands 54876  loss 0.2353  exact -0.0590  agree 176/200  (251883 ms)
  update 82000  hands 55530  loss 0.2341  exact -0.0567  agree 180/200  (254982 ms)
  update 83000  hands 56197  loss 0.2355  exact -0.0592  agree 179/200  (258153 ms)
  update 84000  hands 56861  loss 0.2380  exact -0.0595  agree 182/200  (261189 ms)
